Player,Team,Class,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA
Camden Sunstrom,Southern Miss,SO,6,4,3.1,20,10,0,0,1,78.1,76,33,27,16,80,6,0.253
Casey Euper,Pepperdine,SO,5,4,3.11,15,12,0,0,0,75.1,67,32,26,29,67,10,0.236
Ian Korn,West Virginia,GR,5,1,3.12,21,3,0,0,2,69.1,63,26,24,10,61,5,0.243
Brannon Westmoreland,Little Rock,JR,6,2,3.12,17,16,1,1,0,98,96,37,34,22,81,1,0.251
Michael Malki,California Baptist,SO,11,0,3.12,18,15,1,0,0,75,67,29,26,37,111,6,0.236
Evan Dempsey,Florida Gulf Coast,JR,7,2,3.15,15,15,2,2,0,88.2,68,32,31,26,126,11,0.209
Edwin Sanchez,Bethune-Cookman,SR,11,2,3.17,15,15,0,0,0,76.2,61,30,27,33,72,6,0.219
Ryan Piech,Xavier,JR,8,3,3.18,14,14,0,0,0,76.1,56,28,27,31,98,5,0.201
Braden Gebhardt,Youngstown State,SR,5,4,3.19,15,15,0,0,0,87.1,77,42,31,29,104,8,0.23
Alex Petrovic,Auburn,SO,10,2,3.19,16,16,1,1,0,87.1,67,33,31,22,87,6,0.209
Ben Cherico,Saint Louis,SR,4,7,3.21,14,14,2,2,0,84,66,45,30,31,76,13,0.214
Hunter Possehl,Florida Gulf Coast,SO,4,1,3.21,15,14,0,0,0,67.1,62,33,24,26,65,10,0.242
Aidan King,Florida,SO,8,2,3.21,16,16,0,0,0,87,71,39,31,19,92,7,0.218
Andrew Buffkin,The Citadel,JR,6,3,3.23,22,8,1,1,1,75.1,78,31,27,28,59,8,0.284
Thomas Shurtleff,Pennsylvania,SR,6,2,3.25,11,4,0,0,0,61,56,23,22,15,52,7,0.249
Liam O'Leary,St. John&#8217;s,JR,8,4,3.25,16,16,3,1,0,105.1,95,41,38,28,74,9,0.24
Patrick Steitz,VCU,SR,7,4,3.26,17,16,0,0,0,96.2,83,37,35,26,86,5,0.231
Isaac Morton,Minnesota,JR,4,2,3.26,13,13,0,0,0,60.2,46,28,22,25,63,12,0.211
Easton Teel,Oral Roberts,SO,4,3,3.26,14,14,0,0,0,77.1,72,30,28,23,68,9,0.247
Daniel Powell,Kennesaw State,JR,6,3,3.27,26,0,0,0,7,55,42,22,20,24,64,4,0.223
Conor Myles,UTSA,GR,10,1,3.28,15,13,0,0,0,74,68,31,27,23,65,5,0.239
Gage Peterson,Appalachian State,JR,8,1,3.28,15,15,0,0,0,85,60,40,31,39,107,11,0.196
Nate Kugler,Dartmouth,SO,2,4,3.28,13,7,0,0,0,46.2,42,23,17,17,29,8,0.247
Rob Evans,Miami,SR,10,3,3.29,16,15,0,0,0,86.2,67,36,32,31,98,6,0.21
Jack Radel,Notre Dame,JR,8,4,3.29,15,15,2,1,0,87.2,68,36,32,22,116,2,0.206
Carlos Martinez,Hofstra,SR,6,3,3.3,13,13,1,0,0,76.1,63,31,28,27,96,5,0.228
Jake Marciano,Auburn,SO,5,6,3.32,17,17,0,0,0,86.2,76,37,32,17,108,10,0.234
Darin Horn,Coastal Carolina,SR,8,2,3.34,31,0,0,0,7,67.1,61,34,25,25,93,8,0.241
Trey Williford,UNC Wilmington,FR,6,2,3.34,17,8,1,0,1,67.1,51,29,25,28,89,5,0.211
Joey Giordano,Richmond,SO,11,0,3.35,13,13,0,0,0,75.1,64,34,28,26,63,7,0.226
Jackson Blakely,Georgia Tech,SO,8,1,3.36,15,13,0,0,0,64.1,61,27,24,20,69,12,0.246
Trevor Nikolis,North Florida,SO,4,3,3.36,16,11,1,0,0,56.1,38,23,21,27,41,5,0.197
Ryan Peterson,Sam Houston,JR,6,5,3.38,15,15,1,1,0,88,77,38,33,23,105,13,0.236
Bryce Riggs,Eastern Illinois,JR,8,2,3.38,16,15,2,1,1,93.1,63,37,35,39,76,4,0.189
Ciaran Caughey,Kent State,SR,8,2,3.39,15,15,0,0,0,77,60,35,29,23,77,15,0.212
Michael Sharman,Clemson,SR,6,2,3.39,15,15,1,0,0,77,73,34,29,11,77,4,0.243
Eric Nachtsheim,McNeese,SR,8,4,3.39,20,9,1,0,3,93,81,39,35,21,129,5,0.227
Declan Dahl,Louisiana Tech,JR,7,4,3.43,15,15,0,0,0,81.1,73,37,31,23,101,5,0.236
Carson Turnquist,Cal Poly,JR,9,2,3.46,15,13,0,0,0,75.1,53,30,29,38,90,16,0.191
